" 3D Run ID","ol","rl","sl","pl","gl","Tables\0D Results\SZmax(1),Zmax(1)_0D_yAtX"
"1","2","8","7","5","4",""
"2","0.5","8","7","5","4","86.541"
"3","1","8","7","5","4","84.0312"
"4","1.5","8","7","5","4","79.014"
"5","2","8","7","5","2.5","125.078"
"6","2","8","7","5","3","112.716"
"7","2","8","7","5","3.5","92.7452"
"8","2","8","7","4","4","25.1728"
"9","2","8","7","4.5","4","49.8625"
"10","2","8","5.5","5","4","71.5174"
"11","2","8","6","5","4","70.5007"
"12","2","8","6.5","5","4","66.3785"
"13","2","7","7","5","4","32.3768"
"14","2","7.5","7","5","4","50.1724"
"0","","","","","","50.1724"
